country_code,year,age_first,age_last,target,coverage,activity_type
CHN,2008,0,0,<NA>,0.99,routine
CHN,2009,0,0,<NA>,0.99,routine
CHN,2010,0,0,<NA>,0.99,routine
CHN,2011,0,0,<NA>,0.99,routine
CHN,2012,0,0,<NA>,0.99,routine
CHN,2013,0,0,<NA>,0.995,routine
CHN,2014,0,0,<NA>,0.99,routine
CHN,2015,0,0,<NA>,0.996,routine
CHN,2016,0,0,<NA>,0.99,routine
CHN,2017,0,0,<NA>,0.99,routine
CHN,2018,0,0,<NA>,0.99,routine
CHN,2019,0,0,<NA>,0.99,routine
IDN,2018,1,14,66319790,0.014546714,campaign
IDN,2018,0,0,<NA>,0.00479934,routine
IDN,2019,0,0,<NA>,0.009,routine
IND,2006,1,14,351160690,0.026483602,campaign
IND,2007,1,14,352607074,0.052182731,campaign
IND,2008,1,14,353796866,0.047767523,campaign
IND,2009,1,14,354556374,0.05104971,campaign
IND,2009,0,0,<NA>,0.098182482,routine
IND,2010,1,14,354759217,0.026017647,campaign
IND,2010,0,0,<NA>,0.065817747,routine
IND,2011,0,0,<NA>,0.140626853,routine
IND,2012,0,0,<NA>,0.092092561,routine
IND,2013,0,0,<NA>,0.169865515,routine
IND,2015,0,0,<NA>,0.24401599,routine
IND,2016,0,0,<NA>,0.222416305,routine
IND,2017,1,15,370067092,0.043736904,campaign
IND,2017,0,0,<NA>,0.361508567,routine
IND,2018,0,0,<NA>,0.318659604,routine
IND,2019,0,0,<NA>,0.3827,routine
JPN,1976,0,0,<NA>,0.5,routine
JPN,1977,0,0,<NA>,0.5,routine
JPN,1978,0,0,<NA>,0.5,routine
JPN,1979,0,0,<NA>,0.5,routine
JPN,1980,0,0,<NA>,0.5,routine
JPN,1981,0,0,<NA>,0.5,routine
JPN,1982,0,0,<NA>,0.5,routine
JPN,1983,0,0,<NA>,0.5,routine
JPN,1984,0,0,<NA>,0.5,routine
JPN,1985,0,0,<NA>,0.5,routine
JPN,1986,0,0,<NA>,0.5,routine
JPN,1987,0,0,<NA>,0.5,routine
JPN,1988,0,0,<NA>,0.5,routine
JPN,1989,0,0,<NA>,0.5,routine
JPN,1990,0,0,<NA>,0.5,routine
JPN,1991,0,0,<NA>,0.5,routine
JPN,1992,0,0,<NA>,0.5,routine
JPN,1993,0,0,<NA>,0.5,routine
JPN,1994,0,0,<NA>,0.5,routine
JPN,1995,0,0,<NA>,0.8,routine
JPN,1996,0,0,<NA>,0.8,routine
JPN,1997,0,0,<NA>,0.8,routine
JPN,1998,0,0,<NA>,0.8,routine
JPN,1999,0,0,<NA>,0.8,routine
JPN,2000,0,0,<NA>,0.8,routine
JPN,2001,0,0,<NA>,0.8,routine
JPN,2002,0,0,<NA>,0.8,routine
JPN,2003,0,0,<NA>,0.8,routine
JPN,2004,0,0,<NA>,0.8,routine
JPN,2005,0,0,<NA>,0.8,routine
JPN,2006,0,0,<NA>,0.8,routine
JPN,2007,0,0,<NA>,0.83,routine
JPN,2008,0,0,<NA>,0.04,routine
JPN,2009,0,0,<NA>,0.207,routine
JPN,2010,0,0,<NA>,0.221,routine
JPN,2011,0,0,<NA>,0.612,routine
JPN,2012,0,0,<NA>,0.855,routine
JPN,2013,0,0,<NA>,0.845,routine
JPN,2014,0,0,<NA>,0.72,routine
JPN,2015,0,0,<NA>,0.58,routine
JPN,2016,0,0,<NA>,0.55,routine
JPN,2017,0,0,<NA>,0.63,routine
JPN,2018,0,0,<NA>,0.633,routine
JPN,2019,0,0,<NA>,0.633,routine
KHM,2013,1,14,4466662,0.069302141,campaign
KHM,2015,0,0,<NA>,0.425520473,routine
KHM,2016,1,14,4601039,0.906627612,campaign
KHM,2016,0,0,<NA>,0.748060832,routine
KHM,2018,0,0,<NA>,0.86180989,routine
KHM,2019,0,0,<NA>,0.8639,routine
KOR,1963,0,0,<NA>,0.045,routine
KOR,1964,0,0,<NA>,0.045,routine
KOR,1965,0,0,<NA>,0.045,routine
KOR,1966,0,0,<NA>,0.045,routine
KOR,1967,0,0,<NA>,0.045,routine
KOR,1968,0,0,<NA>,0.045,routine
KOR,1969,0,0,<NA>,0.045,routine
KOR,1970,0,0,<NA>,0.045,routine
KOR,1971,0,0,<NA>,0.045,routine
KOR,1972,0,0,<NA>,0.045,routine
KOR,1973,0,0,<NA>,0.045,routine
KOR,1974,0,0,<NA>,0.045,routine
KOR,1975,0,0,<NA>,0.045,routine
KOR,1976,0,0,<NA>,0.045,routine
KOR,1977,0,0,<NA>,0.045,routine
KOR,1978,0,0,<NA>,0.045,routine
KOR,1979,0,0,<NA>,0.045,routine
KOR,1980,0,0,<NA>,0.1,routine
KOR,1981,0,0,<NA>,0.168,routine
KOR,1982,0,0,<NA>,0.168,routine
KOR,1983,3,15,11086407,0.6,campaign
KOR,1984,0,0,<NA>,0.89,routine
KOR,1985,0,0,<NA>,0.89,routine
KOR,1986,0,0,<NA>,0.89,routine
KOR,1987,0,0,<NA>,0.89,routine
KOR,1988,0,0,<NA>,0.89,routine
KOR,1989,0,0,<NA>,0.89,routine
KOR,1990,0,0,<NA>,0.89,routine
KOR,1991,0,0,<NA>,0.89,routine
KOR,1992,0,0,<NA>,0.89,routine
KOR,1993,0,0,<NA>,0.89,routine
KOR,1994,0,0,<NA>,0.89,routine
KOR,1995,0,0,<NA>,0.89,routine
KOR,1996,0,0,<NA>,0.89,routine
KOR,1997,0,0,<NA>,0.89,routine
KOR,1998,0,0,<NA>,0.89,routine
KOR,1999,0,0,<NA>,0.89,routine
KOR,2000,0,0,<NA>,0.95,routine
KOR,2001,0,0,<NA>,0.95,routine
KOR,2002,0,0,<NA>,0.95,routine
KOR,2003,0,0,<NA>,0.95,routine
KOR,2004,0,0,<NA>,0.95,routine
KOR,2005,0,0,<NA>,0.95,routine
KOR,2006,0,0,<NA>,0.88,routine
KOR,2007,0,0,<NA>,0.836,routine
KOR,2008,0,0,<NA>,0.836,routine
KOR,2009,0,0,<NA>,0.887,routine
KOR,2010,0,0,<NA>,0.97,routine
KOR,2011,0,0,<NA>,0.852,routine
KOR,2012,0,0,<NA>,0.929,routine
KOR,2013,0,0,<NA>,0.956,routine
KOR,2014,0,0,<NA>,0.959,routine
KOR,2015,0,0,<NA>,0.973,routine
KOR,2016,0,0,<NA>,0.976,routine
KOR,2017,0,0,<NA>,0.97,routine
KOR,2018,0,0,<NA>,0.97,routine
KOR,2019,0,0,<NA>,0.97,routine
LAO,2015,0,0,<NA>,0.197698438,routine
LAO,2016,0,0,<NA>,0.438101347,routine
LAO,2017,0,0,<NA>,0.389784751,routine
LAO,2018,0,0,<NA>,0.597606557,routine
LAO,2019,0,0,<NA>,0.6303,routine
LKA,1988,0,0,<NA>,0.99,routine
LKA,1989,0,0,<NA>,0.99,routine
LKA,1990,0,0,<NA>,0.99,routine
LKA,1991,0,0,<NA>,0.99,routine
LKA,1992,0,0,<NA>,0.99,routine
LKA,1993,0,0,<NA>,0.99,routine
LKA,1994,0,0,<NA>,0.99,routine
LKA,1995,0,0,<NA>,0.99,routine
LKA,1996,0,0,<NA>,0.99,routine
LKA,1997,0,0,<NA>,0.99,routine
LKA,1998,0,0,<NA>,0.99,routine
LKA,1999,0,0,<NA>,0.99,routine
LKA,2000,0,0,<NA>,0.99,routine
LKA,2001,0,0,<NA>,0.99,routine
LKA,2002,0,0,<NA>,0.99,routine
LKA,2003,0,0,<NA>,0.99,routine
LKA,2004,0,0,<NA>,0.99,routine
LKA,2005,0,0,<NA>,0.99,routine
LKA,2006,0,0,<NA>,0.99,routine
