run_id,symptomatic_probability,mortality_probability,foi.CHN,foi.IND,foi.PAK,foi.IDN,foi.PNG,foi.KHM,foi.NPL,foi.LKA,foi.PHL,foi.BTN,foi.VNM,foi.MMR,foi.TLS,foi.PRK,foi.BGD,foi.THA,foi.LAO
1,0.002893517,0.576339778,0.104556322,0.164245203,0.134960002,0.2036031,0.448593806,0.033803953,0.130806689,0.273943048,0.149328092,0.137902292,0.059716671,0.356565421,0.374237323,0.353544722,0.15503475,0.018414221,0.13692243
2,0.002286485,0.155152879,0.186168598,0.062041923,0.039481186,0.257683902,0.339747089,0.1247514,0.088562508,0.051657989,0.151164997,0.086742554,0.062796613,0.093083763,0.18573904,0.096147426,0.086059725,0.052651379,0.054417695
3,0.003466752,0.121964402,0.139116899,0.151742426,0.164554715,0.271288624,0.373429103,0.122836168,0.135216517,0.124008598,0.049035549,0.06078588,0.120883615,0.326830143,0.283493071,0.053956927,0.091423828,0.065016969,0.139817224
4,0.002616861,0.377315286,0.103510223,0.157963441,0.30666667,0.125125183,0.130285955,0.013812508,0.079508357,0.3030949,0.042603812,0.062223055,0.101814132,0.170642377,0.219873271,0.162124789,0.112143189,0.051267378,0.080902913
5,0.005057055,0.37997577,0.218152319,0.152453179,0.162995347,0.440509838,0.390941455,0.058597481,0.097642118,0.092135199,0.231752754,0.095057339,0.117603195,0.023983123,0.436656679,0.324958213,0.211946647,0.02643384,0.262273098
6,0.012892973,0.167589656,0.209045527,0.070477933,0.159495788,0.159271297,0.388648037,0.115926587,0.130781429,0.19201004,0.045003729,0.060016259,0.081042122,0.074818372,0.417967718,0.155827093,0.100137587,0.043996577,0.111884821
7,0.002451016,0.098591256,0.209693196,0.160907773,0.070706025,0.403109176,0.210009568,0.08175034,0.141803682,0.159067682,0.056288268,0.158782587,0.099383624,0.061884708,0.344399895,0.171131925,0.099814231,0.015496272,0.084116754
8,0.002922626,0.093257336,0.304614148,0.061799857,0.235495645,0.308381531,0.33649748,0.0914093,0.073396779,0.349151237,0.049029025,0.200035402,0.065889983,0.108084695,0.211406278,0.116194209,0.09717797,0.029676651,0.257156617
9,0.001722135,0.069308992,0.23827288,0.152756046,0.098933766,0.108857446,0.283210982,0.077694604,0.068230976,0.036399452,0.050366414,0.156855084,0.272823785,0.061287806,0.106927074,0.054179065,0.147315828,0.049219107,0.052515354
10,0.005196307,0.482438754,0.205129128,0.059651159,0.433710659,0.313106666,0.156814602,0.071043104,0.06364273,0.194257628,0.159533318,0.195694355,0.095882362,0.222567342,0.375287421,0.097050924,0.098893005,0.056265539,0.099606017
11,0.005894414,0.624395989,0.315866742,0.061543085,0.357204902,0.351863687,0.155720396,0.118428412,0.169555291,0.076710667,0.219561257,0.13597365,0.071898806,0.270744187,0.270394621,0.229726032,0.164582314,0.098899195,0.078089561
12,0.009251169,0.106983792,0.024589683,0.156369823,0.10534352,0.237095768,0.138433289,0.091686387,0.133390178,0.053926601,0.057263054,0.094034164,0.088057727,0.040480851,0.307394511,0.250471845,0.138999528,0.044059397,0.096798296
